lng,lat,Borough,ZipCode,BuildingNumber,StreetName,FiscalYear,PlantingSpaceID,CommunityBoard,PlantingSeason,CityCouncil,TreeID,WOId,WOStatus,CompletedDate
-73.99274061,40.67743821,Brooklyn,11231,93,3 STREET,0,2764466,306,06/30/2024,39,11591666,12843288,Completed,2021-04-20 00:00:00
-73.99354637,40.67767986,Brooklyn,11231,68,3 STREET,0,7786870,306,06/30/2024,39,11591665,12843283,Completed,2021-04-21 00:00:00
-73.99548735,40.68337539,Brooklyn,11231,316,COURT STREET,0,3656119,306,06/30/2024,39,11591616,11021601,Completed,2021-04-21 00:00:00
-73.99664263,40.68064057,Brooklyn,11231,375,COURT STREET,0,7157816,306,06/30/2024,39,11590378,11020490,Completed,2021-04-21 00:00:00
-73.99883758,40.67575026,Brooklyn,11231,505,COURT STREET,0,1604126,306,06/30/2024,39,11508079,12895152,Completed,2021-04-22 00:00:00
-74.00503607,40.68413924,Brooklyn,11231,129,VAN BRUNT STREET ,0,7840479,306,06/30/2024,39,11509822,12970670,Completed,2021-04-23 00:00:00
-74.00781287,40.67965090,Brooklyn,11231,54,RICHARDS STREET,0,2767215,306,06/30/2024,38,11513477,12816066,Completed,2021-04-26 00:00:00
-74.00780545,40.68047474,Brooklyn,11231,65,COMMERCE STREET,0,2767201,306,06/30/2024,38,14492052,12842742,Completed,2021-04-26 00:00:00
-74.01622731,40.67771831,Brooklyn,11231,182,COFFEY STREET,0,2769746,306,06/30/2024,38,11590425,12899839,Completed,2021-04-27 00:00:00
-74.01642919,40.67630957,Brooklyn,11231,252,CONOVER STREET,0,279250,306,06/30/2024,38,5663128,637906,Completed,2021-04-27 00:00:00
-74.01132702,40.67905186,Brooklyn,11231,143,PIONEER STREET,0,2786689,306,06/30/2024,38,11589386,10251376,Completed,2021-04-27 00:00:00
-74.00817951,40.67469629,Brooklyn,0,34,LORRAINE STREET,0,277994,306,06/30/2024,0,0,8617279,Completed,2021-04-27 00:00:00
-73.99664441,40.67126500,Brooklyn,11215,60,12 STREET,0,280413,306,06/30/2024,39,11527912,634300,Completed,2021-04-28 00:00:00
-73.99657712,40.67135315,Brooklyn,11215,60,12 STREET,0,278018,306,06/30/2024,39,11527913,634309,Completed,2021-04-28 00:00:00
-73.97719902,40.64899039,Brooklyn,11218,2819,FT HAMILTON PARKWAY,0,5541222,307,06/30/2024,39,11527921,12761717,Completed,2021-04-28 00:00:00
-73.99313262,40.66747131,Brooklyn,11215,111,15 STREET,0,3932698,306,06/30/2024,39,14492018,12736320,Completed,2021-04-28 00:00:00
-73.99340931,40.63482703,Brooklyn,11219,1262,50 STREET,0,4416040,312,06/30/2024,44,11530896,13766116,Completed,2021-04-29 00:00:00
-73.97294077,40.61467782,Brooklyn,11230,1441,EAST  2 STREET,0,1567732,312,06/30/2024,44,14782199,10026710,Completed,2021-05-03 00:00:00
-74.00149441,40.62491631,Brooklyn,11219,1324,66 STREET,0,1619087,310,06/30/2024,38,11591623,11038495,Completed,2021-05-04 00:00:00
-73.98205430,40.62444255,Brooklyn,11204,1873,54 STREET,0,8165355,312,06/30/2024,44,11592805,13767835,Completed,2021-05-04 00:00:00
-73.98236511,40.62342335,Brooklyn,11204,1886,55 STREET,0,8165793,312,06/30/2024,44,11592817,13769216,Completed,2021-05-04 00:00:00
-74.01301734,40.61505283,Brooklyn,11228,8408,13 AVENUE,0,7168721,310,06/30/2024,43,11591632,11042690,Completed,2021-05-05 00:00:00
-74.01983350,40.62049446,Brooklyn,11228,911,83 STREET,0,4417759,310,06/30/2024,43,11590419,11799608,Completed,2021-05-05 00:00:00
-74.01264305,40.61539038,Brooklyn,11228,8320,13 AVENUE,0,4412762,310,06/30/2024,43,11590375,10451946,Completed,2021-05-05 00:00:00
-74.01531179,40.62413781,Brooklyn,11228,975,76 STREET,0,4959767,310,06/30/2024,43,11590377,10680131,Completed,2021-05-05 00:00:00
-74.01107547,40.62950611,Brooklyn,11219,6702,FT HAMILTON PARKWAY,0,353609,310,06/30/2024,43,11591617,11038468,Completed,2021-05-06 00:00:00
-74.00216104,40.63568099,Brooklyn,11219,989,55 STREET,0,8165359,312,06/30/2024,38,11593903,13768240,Completed,2021-05-06 00:00:00
-74.00220796,40.63570661,Brooklyn,11219,989,55 STREET,0,8165358,312,06/30/2024,38,11593905,13768798,Completed,2021-05-06 00:00:00
